Acadia	#35312c
Highball	#928c3c
Highland	#7a9461
Hillary	#a7a07e
Himalaya	#736330
Hint Of Green	#dff1d6
Hint Of Red	#f5efeb
Hint Of Yellow	#f6f5d7
Hippie Blue	#49889a
Hippie Green	#608a5a
Hippie Pink	#ab495c
Hit Grey	#a1a9a8
Hit Pink	#fda470
Hokey Pokey	#bb8e34
Hoki	#647d86
Holly	#25342b
Hollywood Cerise	#f400a1
Honey Flower	#5c3c6d
Honeydew	#f0fff0
Honeysuckle	#e8ed69
Hopbush	#cd6d93
Horizon	#648894
Horses Neck	#6d562c
Hot Curry	#815b28
Hot Magenta	#ff00cc
Hot Pink	#ff69b4
Hot Purple	#4e2e53
Hot Toddy	#a7752c
Humming Bird	#ceefe4
Hunter Green	#355e3b
Hurricane	#8b7e77
Husk	#b2994b
Ice Cold	#afe3d6
Iceberg	#cae1d9
Illusion	#ef95ae
Inch Worm	#b0e313
Indian Red	#cd5c5c
Indian Tan	#4f301f
Indigo	#4b0082
Indochine	#9c5b34
International Klein Blue	#002fa7
International Orange	#ff4f00
Iris Blue	#03b4c8
Irish Coffee	#62422b
Iron	#cbcdcd
Ironside Grey	#706e66
Ironstone	#865040
Islamic Green	#009900
Island Spice	#f8eddb
Ivory	#fffff0
Jacarta	#3d325d
Jacko Bean	#413628
Jacksons Purple	#3d3f7d
Jade	#00a86b
Jaffa	#e27945
Jagged Ice	#cae7e2
Jagger	#3f2e4c
Jaguar	#29292f
Jambalaya	#674834
Japanese Laurel	#2f7532
Japonica	#ce7259
Java	#259797
Jazz	#5f2c2f
Jazzberry Jam	#a50b5e
Jelly Bean	#44798e
Jet Stream	#bbd0c9
Jewel	#136843
Jon	#463d3e
Jonquil	#eef293
Jordy Blue	#7aaae0
Judge Grey	#5d5346
Jumbo	#878785
Jungle Green	#29ab87
Jungle Mist	#b0c4c4
Juniper	#74918e
Just Right	#dcbfac
Kabul	#6c5e53
Kaitoke Green	#245336
Kangaroo	#c5c3b0
Karaka	#2d2d24
Karry	#fedcc1
Kashmir Blue	#576d8e
Kelly Green	#4cbb17
Kelp	#4d503c
Kenyan Copper	#6c322e
Keppel	#5fb69c
Khaki	#f0e68c
Kidnapper	#bfc0ab
Kilamanjaro	#3a3532
Killarney	#49764f
Kimberly	#695d87
Kingfisher Daisy	#583580
Kobi	#e093ab
Kokoda	#7b785a
Korma	#804e2c
Koromiko	#feb552
Kournikova	#f9d054
La Palma	#428929
La Rioja	#bac00e
Las Palmas	#c6da36
Laser	#c6a95e
Laser Lemon	#ffff66
Laurel	#6e8d71
Lavender	#e6e6fa
Lavender Blue	#ccccff
Lavender Blush	#fff0f5
Lavender Grey	#bdbbd7
Lavender Pink	#fbaed2
Lavender Rose	#fba0e3
Lawn Green	#7cfc00
Leather	#906a54
Lemon	#fde910
Lemon Chiffon	#fffacd
Lemon Ginger	#968428
Lemon Grass	#999a86
Licorice	#2e3749
Light Blue	#add8e6
Light Coral	#f08080
Light Cyan	#e0ffff
Light Goldenrod	#eedd82
Light Goldenrod Yellow	#fafad2
Light Green	#90ee90
Light Grey	#d3d3d3
Light Pink	#ffb6c1
Light Salmon	#ffa07a
Light Sea Green	#20b2aa
Light Sky Blue	#87cefa
Light Slate Blue	#8470ff
Light Slate Grey	#778899
Light Steel Blue	#b0c4de
Light Wood	#856363
Light Yellow	#ffffe0
Lightning Yellow	#f7a233
Lilac	#c8a2c8
Lilac Bush	#9470c4
Lily	#c19fb3
Lily White	#e9eeeb
Lima	#7aac21
Lime	#00ff00
Lime Green	#32cd32
Limeade	#5f9727
Limerick	#89ac27
Linen	#faf0e6
Link Water	#c7cdd8
Lipstick	#962c54
Liver	#534b4f
Livid Brown	#312a29
Loafer	#dbd9c2
Loblolly	#b3bbb7
Lochinvar	#489084
Lochmara	#316ea0
Locust	#a2a580
Log Cabin	#393e2e
Logan	#9d9cb4
Lola	#b9acbb
London Hue	#ae94ab
Lonestar	#522426
Lotus	#8b504b
Loulou	#4c3347
Lucky	#ab9a1c
Lucky Point	#292d4f
Lunar Green	#4e5541
Lusty	#782e2c
Luxor Gold	#ab8d3f
Lynch	#697d89
Mabel	#cbe8e8
Macaroni And Cheese	#ffb97b
Madang	#b7e3a8
Madison	#2d3c54
Madras	#473e23
Magenta	#ff00ff
Magic Mint	#aaf0d1
Magnolia	#f8f4ff
Mahogany	#ca3435
Mai Tai	#a56531
Maire	#2a2922
Maize	#e3b982
Makara	#695f50
Mako	#505555
Malachite	#0bda51
Malachite Green	#97976f
Malibu	#66b7e1
Mallard	#3a4531
Malta	#a59784
Mamba	#766d7c
Manatee	#8d90a1
Mandalay	#b57b2e
Mandarian Orange	#8e2323
Mandy	#cd525b
Mandys Pink	#f5b799
Mango Tango	#e77200
Manhattan	#e2af80
Mantis	#7fc15c
Mantle	#96a793
Manz	#e4db55
Mardi Gras	#352235
Marigold	#b88a3d
Mariner	#42639f
Maroon	#800000
Marshland	#2b2e26
Martini	#b7a8a3
Martinique	#3c3748
Marzipan	#ebc881
Masala	#57534b
Matisse	#365c7d
Matrix	#8e4d45
Matterhorn	#524b4b
Mauve	#e0b0ff
Mauve Taupe	#915f6d
Mauvelous	#f091a9
Maverick	#c8b1c0
Maya Blue	#73c2fb
McKenzie	#8c6338
Medium Aquamarine	#66cdaa
Medium Blue	#0000cd
Medium Carmine	#af4035
Medium Goldenrod	#eaeaae
Medium Orchid	#ba55d3
Medium Purple	#9370db
Medium Red Violet	#bb3385
Medium Sea Green	#3cb371
Medium Slate Blue	#7b68ee
Medium Spring Green	#00fa9a
Medium Turquoise	#48d1cc
Medium Violet Red	#c71585
Medium Wood	#a68064
Melanie	#e0b7c2
Melanzane	#342931
Melon	#febaad
Melrose	#c3b9dd
Mercury	#d5d2d1
Merino	#e1dbd0
Merlin	#4f4e48
Merlot	#73343a
Metallic Bronze	#554a3c
Metallic Copper	#6e3d34
Metallic Gold	#d4af37
Meteor	#bb7431
Meteorite	#4a3b6a
Mexican Red	#9b3d3d
Mid Grey	#666a6d
Midnight	#21303e
Midnight Blue	#191970
Midnight Express	#21263a
Midnight Moss	#242e28
Mikado	#3f3623
Milan	#f6f493
Milano Red	#9e3332
Milk Punch	#f3e5c0
Milk White	#dcd9cd
Millbrook	#595648
Mimosa	#f5f5cc
Mindaro	#daea6f
Mine Shaft	#373e41
Mineral Green	#506355
Ming	#407577
Minsk	#3e3267
Mint Cream	#f5fffa
Mint Green	#98ff98
Mint Julep	#e0d8a7
Mint Tulip	#c6eadd
Mirage	#373f43
Mischka	#a5a9b2
Mist Grey	#bab9a9
Misty Rose	#ffe4e1
Mobster	#605a67
Moccaccino	#582f2b
Moccasin	#ffe4b5
Mocha	#6f372d
Mojo	#97463c
Mona Lisa	#ff9889
Monarch	#6b252c
Mondo	#554d42
Mongoose	#a58b6f
Monsoon	#7a7679
Montana	#393b3c
Monte Carlo	#7ac5b4
Moody Blue	#8378c7
Moon Glow	#f5f3ce
Moon Mist	#cecdb8
Moon Raker	#c0b2d7
Moon Yellow	#f0c420
Morning Glory	#9ed1d3
Morocco Brown	#442d21
Mortar	#565051
Mosque	#005f5b
Moss Green	#addfad
Mountain Meadow	#1ab385
Mountain Mist	#a09f9c
Mountbatten Pink	#997a8d
Muddy Waters	#a9844f
Muesli	#9e7e53
Mulberry	#c54b8c
Mule Fawn	#884f40
Mulled Wine	#524d5b
Mustard	#ffdb58
My Pink	#d68b80
My Sin	#fdae45
Myrtle	#21421e
Mystic	#d8ddda
Nandor	#4e5d4e
Napa	#a39a87
Narvik	#e9e6dc
Navajo White	#ffdead
Navy	#000080
Navy Blue	#0066cc
Nebula	#b8c6be
Negroni	#eec7a2
Neon Blue	#4d4dff
Neon Carrot	#ff9933
Neon Pink	#ff6ec7
Nepal	#93aab9
Neptune	#77a8ab
Nero	#252525
Neutral Green	#aaa583
Nevada	#666f6f
New Amber	#6d3b24
New Midnight Blue	#00009c
New Orleans	#e4c385
New Tan	#ebc79e
New York Pink	#dd8374
Niagara	#29a98b
Night Rider	#332e2e
Night Shadz	#a23d54
Nile Blue	#253f4e
Nobel	#a99d9d
Nomad	#a19986
Nordic	#1d393c
Norway	#a4b88f
Nugget	#bc9229
Nutmeg	#7e4a3b
Oasis	#fcedc5
Observatory	#008f70
Ocean Green	#4ca973
Ochre	#cc7722
Off Green	#dff0e2
Off Yellow	#faf3dc
Oil	#313330
Old Brick	#8a3335
Old Copper	#73503b
Old Gold	#cfb53b
Old Lace	#fdf5e6
Old Lavender	#796878
Old Rose	#c02e4c
Olive	#808000
Olive Drab	#6b8e23
Olive Green	#b5b35c
Olive Haze	#888064
Olivetone	#747028
Olivine	#9ab973
Onahau	#c2e6ec
Onion	#48412b
Opal	#a8c3bc
Opium	#987e7e
Oracle	#395555
Orange	#ffa500
Orange Peel	#ffa000
Orange Red	#ff4500
Orange Roughy	#a85335
Orange White	#eae3cd
Orchid	#da70d6
Orchid White	#f1ebd9
Orient	#255b77
Oriental Pink	#c28e88
Orinoco	#d2d3b3
Oslo Grey	#818988
Ottoman	#d3dbcb
Outer Space	#2d383a
Outrageous Orange	#ff6037
Oxford Blue	#28353a
Oxley	#6d9a78
Oyster Bay	#d1eaea
Oyster Pink	#d4b5b0
Paarl	#864b36
Pablo	#7a715c
Pacific Blue	#009dc4
Paco	#4f4037
Padua	#7eb394
Palatinate Purple	#682860
Pale Brown	#987654
Pale Chestnut	#ddadaf
Pale Cornflower Blue	#abcdef
Pale Goldenrod	#eee8aa
Pale Green	#98fb98
Pale Leaf	#bdcaa8
Pale Magenta	#f984e5
Pale Oyster	#9c8d72
Pale Pink	#fadadd
Pale Prim	#f9f59f
Pale Rose	#efd6da
Pale Sky	#636d70
Pale Slate	#c3bebb
Pale Taupe	#bc987e
Pale Turquoise	#afeeee
Pale Violet Red	#db7093
Palm Green	#20392c
Palm Leaf	#36482f
Pampas	#eae4dc
Panache	#ebf7e4
Pancho	#dfb992
Panda	#544f3a
Papaya Whip	#ffefd5
Paprika	#7c2d37
Paradiso	#488084
Parchment	#d0c8b0
Paris Daisy	#fbeb50
Paris M	#312760
Paris White	#bfcdc0
Parsley	#305d35
Pastel Green	#77dd77
Patina	#639283
Pattens Blue	#d3e5ef
Paua	#2a2551
Pavlova	#baab87
Payne's Grey	#404048
Peach	#ffcba4
Peach Puff	#ffdab9
Peach-Orange	#ffcc99
Peach-Yellow	#fadfad
Peanut	#7a4434
Pear	#d1e231
Pearl Bush	#ded1c6
Pearl Lusta	#eae0c8
Peat	#766d52
Pelorous	#2599b2
Peppermint	#d7e7d0
Perano	#acb9e8
Perfume	#c2a9db
Periglacial Blue	#acb6b2
Periwinkle	#c3cde6
Persian Blue	#1c39bb
Persian Green	#00a693
Persian Indigo	#32127a
Persian Pink	#f77fbe
